Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Wesley Matthews,SG,33,MIL,53,53,24.6,2.5,6.2,.407,1.6,4.3,.373,0.9,1.9,.485,.536,0.8,1.0,.774,0.2,2.2,2.5,1.5,0.6,0.2,0.7,1.5,7.4
Patrick McCaw,SF,24,TOR,31,11,24.1,1.9,4.4,.438,0.7,1.9,.362,1.3,2.5,.494,.515,0.4,0.5,.750,0.5,1.6,2.2,2.3,1.1,0.1,0.8,1.5,4.9
CJ McCollum,SG,28,POR,54,54,35.9,8.6,19.2,.448,2.8,7.1,.387,5.9,12.1,.484,.520,1.8,2.4,.750,0.6,3.4,4.0,4.0,0.7,0.6,1.8,2.5,21.8
T.J. McConnell,PG,27,IND,55,3,18.9,3.0,5.8,.520,0.1,0.2,.308,2.9,5.6,.529,.527,0.5,0.6,.829,0.5,2.1,2.6,5.1,0.7,0.2,1.4,1.0,6.6
Jalen McDaniels,PF,22,CHO,7,0,14.9,1.9,3.6,.520,0.7,1.4,.500,1.1,2.1,.533,.620,0.7,0.9,.833,0.6,2.7,3.3,0.3,0.4,0.0,0.1,1.9,5.1
Doug McDermott,PF,28,IND,57,0,20.5,3.9,8.0,.488,1.9,4.4,.444,2.0,3.6,.541,.609,0.7,0.9,.816,0.4,2.1,2.5,1.1,0.1,0.1,0.6,1.8,10.4
JaVale McGee,C,32,LAL,53,53,16.7,3.1,4.8,.643,0.1,0.1,.500,3.0,4.6,.646,.649,0.8,1.3,.642,1.8,4.0,5.8,0.6,0.5,1.5,0.8,2.4,7.0
Rodney McGruder,SG,28,LAC,44,3,16.1,1.3,3.3,.381,0.5,1.7,.267,0.8,1.6,.500,.449,0.3,0.6,.500,0.6,2.2,2.8,0.7,0.5,0.2,0.5,1.5,3.3
Alfonzo McKinnie,SF,27,CLE,37,1,14.4,1.7,4.1,.414,0.3,1.6,.203,1.4,2.5,.548,.454,0.5,0.8,.690,0.8,1.9,2.8,0.4,0.6,0.2,0.6,1.7,4.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan McLaughlin,PG,23,MIN,21,2,19.5,2.8,6.0,.460,1.0,2.7,.386,1.7,3.3,.522,.548,0.7,1.0,.750,0.2,1.6,1.8,4.1,1.0,0.2,0.8,1.0,7.3
Ben McLemore,SG,26,HOU,56,18,23.4,3.4,7.8,.444,2.5,6.5,.392,0.9,1.3,.699,.607,0.8,1.0,.759,0.3,1.9,2.2,0.9,0.6,0.2,0.8,2.0,10.2
Jordan McRae,SG,28,TOT,32,4,21.3,4.2,10.1,.419,1.3,3.4,.382,2.9,6.6,.439,.484,2.1,2.7,.770,0.6,2.8,3.4,2.7,0.6,0.5,1.2,2.0,11.8
Jordan McRae,SG,28,WAS,29,4,22.6,4.6,10.9,.420,1.4,3.7,.377,3.2,7.3,.441,.483,2.2,2.9,.771,0.6,3.0,3.6,2.8,0.7,0.5,1.3,2.1,12.8
Jordan McRae,SG,28,DEN,3,0,9.0,0.7,1.7,.400,0.7,1.3,.500,0.0,0.3,.000,.600,1.0,1.3,.750,0.3,1.3,1.7,1.3,0.3,0.3,0.0,0.7,3.0
Nicolò Melli,C,29,NOP,45,6,16.0,2.3,5.0,.464,1.3,3.2,.397,1.0,1.7,.590,.594,0.7,0.9,.769,0.7,2.2,2.9,1.1,0.6,0.3,0.8,1.9,6.6
